stadium,Achilles,Ankle,Ankles,Calf,Foot,Glute,Groin,Hamstring,Hamstrings,Hip,Knee,Quadricep,Shin,Tailbone,Thigh,Toe,Toes
AT&T Stadium (turf),1.0,57.0,0.0,9.0,21.0,0.0,22.0,57.0,0.0,7.0,47.0,4.0,0.0,0.0,6.0,5.0,0.0
Allegiant Stadium (grass),0.0,6.0,0.0,3.0,4.0,0.0,2.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Arrowhead Stadium (grass),4.0,59.0,0.0,16.0,31.0,1.0,23.0,42.0,0.0,9.0,71.0,5.0,2.0,0.0,0.0,8.0,0.0
Azteca Stadium (grass),0.0,4.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bank of America Stadium (grass),0.0,52.0,0.0,16.0,26.0,0.0,12.0,48.0,0.0,7.0,62.0,3.0,0.0,0.0,11.0,8.0,0.0
Candlestick Park (grass),0.0,19.0,0.0,1.0,6.0,0.0,2.0,15.0,0.0,2.0,31.0,3.0,0.0,0.0,1.0,2.0,0.0
CenturyLink Field (turf),1.0,65.0,0.0,12.0,19.0,0.0,22.0,60.0,0.0,15.0,58.0,6.0,1.0,0.0,8.0,4.0,0.0
Cleveland Browns Stadium (grass),0.0,22.0,0.0,6.0,9.0,0.0,1.0,16.0,0.0,3.0,14.0,1.0,0.0,0.0,2.0,2.0,0.0
Cowboys Stadium (turf),0.0,30.0,0.0,7.0,9.0,0.0,10.0,20.0,0.0,1.0,25.0,1.0,0.0,1.0,1.0,3.0,0.0
Edward Jones Dome (turf),0.0,40.0,0.0,8.0,18.0,0.0,10.0,17.0,0.0,4.0,53.0,2.0,1.0,0.0,10.0,6.0,0.0
Empower Field at Mile High (grass),0.0,6.0,0.0,3.0,4.0,0.0,3.0,14.0,0.0,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0
EverBank Field (grass),2.0,48.0,0.0,13.0,24.0,0.0,19.0,51.0,0.0,3.0,48.0,5.0,0.0,0.0,3.0,5.0,0.0
FedExField (grass),5.0,50.0,0.0,19.0,19.0,2.0,20.0,61.0,0.0,5.0,75.0,5.0,3.0,0.0,6.0,12.0,0.0
FirstEnergy Stadium (grass),0.0,33.0,0.0,12.0,19.0,0.0,14.0,44.0,0.0,2.0,72.0,7.0,0.0,0.0,3.0,4.0,0.0
Ford Field (turf),0.0,68.0,0.0,10.0,16.0,0.0,17.0,45.0,0.0,17.0,102.0,14.0,0.0,0.0,4.0,6.0,0.0
Georgia Dome (turf),0.0,29.0,0.0,3.0,9.0,0.0,13.0,46.0,0.0,4.0,53.0,10.0,0.0,0.0,3.0,7.0,0.0
Gillette Stadium (turf),2.0,56.0,0.0,11.0,25.0,0.0,13.0,28.0,0.0,12.0,85.0,3.0,0.0,0.0,3.0,6.0,0.0
Hard Rock Stadium (grass),0.0,24.0,1.0,8.0,13.0,0.0,8.0,13.0,0.0,7.0,29.0,3.0,1.0,0.0,0.0,0.0,0.0
Heinz Field (grass),1.0,73.0,0.0,17.0,27.0,0.0,13.0,52.0,0.0,5.0,94.0,5.0,1.0,0.0,9.0,6.0,0.0
Invesco Field at Mile High (grass),0.0,10.0,0.0,0.0,7.0,0.0,0.0,7.0,0.0,2.0,8.0,4.0,0.0,0.0,1.0,0.0,0.0
LP Field (grass),1.0,31.0,0.0,6.0,4.0,0.0,14.0,40.0,0.0,4.0,50.0,2.0,0.0,0.0,2.0,4.0,0.0
Lambeau Field (grass),1.0,85.0,0.0,12.0,26.0,0.0,30.0,64.0,0.0,11.0,77.0,12.0,1.0,0.0,4.0,6.0,1.0
Levi's Stadium (grass),1.0,50.0,0.0,9.0,15.0,0.0,9.0,38.0,0.0,2.0,46.0,13.0,0.0,0.0,2.0,8.0,0.0
Lincoln Financial Field (grass),1.0,62.0,0.0,27.0,27.0,0.0,18.0,63.0,0.0,8.0,83.0,8.0,3.0,0.0,1.0,6.0,0.0
Los Angeles Memorial Coliseum (grass),1.0,26.0,0.0,6.0,7.0,0.0,9.0,8.0,0.0,6.0,22.0,3.0,0.0,0.0,4.0,2.0,0.0
Louisiana Superdome (turf),0.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0
Lucas Oil Stadium (turf),1.0,109.0,0.0,21.0,36.0,0.0,24.0,44.0,0.0,13.0,93.0,8.0,1.0,0.0,1.0,8.0,0.0
Lumen Field (turf),0.0,6.0,0.0,3.0,5.0,0.0,3.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0
M&T Bank Stadium (grass),2.0,75.0,0.0,21.0,32.0,0.0,10.0,30.0,0.0,9.0,68.0,6.0,0.0,0.0,41.0,7.0,0.0
Mall of America Field (turf),0.0,19.0,0.0,3.0,9.0,0.0,6.0,8.0,0.0,3.0,25.0,2,0.0,0.0,0.0,1.0,0.0
Mercedes-Benz Stadium (turf),0.0,11.0,0.0,4.0,10.0,0.0,11.0,18.0,0.0,0.0,26.0,1.0,0.0,0.0,0.0,4.0,0.0
Mercedes-Benz Superdome (turf),0.0,70.0,0.0,21.0,14.0,0.0,20.0,59.0,0.0,8.0,72.0,4.0,0.0,0.0,4.0,13.0,0.0
MetLife Stadium (turf),4.0,133.0,0.0,39.0,56.0,0.0,32.0,111.0,0.0,14.0,141.0,29.0,4.0,0.0,7.0,16.0,0.0
NRG Stadium (turf),0.0,51.0,0.0,14.0,10.0,0.0,11.0,38.0,0.0,2.0,57.0,6.0,1.0,0.0,2.0,4.0,0.0
