stadium,Sum
AT&T Stadium (turf),240.0
Allegiant Stadium (grass),22.0
Arrowhead Stadium (grass),271.0
Azteca Stadium (grass),11.0
Bank of America Stadium (grass),248.0
Candlestick Park (grass),83.0
CenturyLink Field (turf),274.0
Cleveland Browns Stadium (grass),76.0
Cowboys Stadium (turf),112.0
Edward Jones Dome (turf),170.0
Empower Field at Mile High (grass),46.0
EverBank Field (grass),223.0
FedExField (grass),287.0
FirstEnergy Stadium (grass),214.0
Ford Field (turf),304.0
Georgia Dome (turf),179.0
Gillette Stadium (turf),245.0
Hard Rock Stadium (grass),109.0
Heinz Field (grass),304.0
Invesco Field at Mile High (grass),40.0
LP Field (grass),158.0
Lambeau Field (grass),333.0
Levi's Stadium (grass),198.0
Lincoln Financial Field (grass),309.0
Los Angeles Memorial Coliseum (grass),94.0
Louisiana Superdome (turf),28.0
Lucas Oil Stadium (turf),361.0
Lumen Field (turf),31.0
M&T Bank Stadium (grass),306.0
Mall of America Field (turf),78.0
Mercedes-Benz Stadium (turf),86.0
Mercedes-Benz Superdome (turf),289.0
MetLife Stadium (turf),595.0
NRG Stadium (turf),200.0
New Era Field (grass),141.0
New Meadowlands Stadium (turf),53.0
Nissan Stadium (grass),165.0
O.co Coliseum (grass),173.0
Oakland-Alameda County Coliseum (grass),102.0
Paul Brown Stadium (turf),299.0
Qualcomm Stadium (grass),230.0
Qwest Field (turf),28.0
Ralph Wilson Stadium (grass),151.0
Raymond James Stadium (grass),284.0
Reliant Stadium (turf),136.0
Ring Central Coliseum (grass),29.0
Rogers Centre (turf),11.0
SoFi Stadium (turf),39.0
Soldier Field (grass),272.0
Sports Authority Field at Mile High (grass),168.0
State Farm Stadium (grass),93.0
StubHub Center (grass),73.0
Sun Life Stadium (grass),121.0
TCF Bank Stadium (turf),54.0
TIAA Bank Stadium (grass),81.0
Tottenham Stadium (grass),13.0
Twickenham Stadium (grass),12.0
U.S. Bank Stadium (turf),146.0
University of Phoenix Stadium (grass),218.0
Wembley Stadium (grass),79.0
